3073-20220906130000|Lajme, moti|||Lajmet kryesore te dites nga vendi dhe bota.||||||||||||||||||||||||||||||||||||||
3073-20220906134000|Friends|||Rejçëlli ka 30 vjetorin dhe të gjithë miqtë reflektojnë për 30 vjetorët e tyre. Rejçëlli është shumë e mërzitur sepse sipas planeve të saj për jetën ajo duhej të ishte me njeriun e zemrës.||||||||||||||||||||||||||||||||||||||
3073-20220906140500|Parajsa e zonjave  |||3 vjet pas vdekjes se Pietro Morit, Vitorio Konti ben nje investim gjigant ne "Parajsen e zonjave" fale nje huaje qe merr nga Umberto Guarnieri qe do ta fuse ne telashe me kohe. Po Vitorio ka probleme sentimentale, pasi familja e Martes eshte kunder.||||||||||||||||||||||||||||||||||||||
3073-20220906150000|Ftese ne Pese|||"Ftesë në pesë" është një program sa informues aq edhe argëtues. Ngjarje kulturore, ndodhi në jetën e VIP-ve, fokusim mbi marrëdheniet familjare të politikaneve e personave publike, pasqyrim të historive të prodhuara nga reality dhe talent show të ndryshëm. Prezantuar nga Bieta Sulo.||||||||||||||||||||||||||||||||||||||
3073-20220906160000|Në kërkim të kujt|||Mark Dobjani, nje njeri që ka deshtuar ne cdo drejtim të jetës, gjendet i varrosur i gjallë. Rasti i tij misterioz angazhon mjeken Aferdita, hetuesin Almir e personazhe te tjere.||||||||||||||||||||||||||||||||||||||
3073-20220906173000|Lajme, moti |||Lajmet kryesore te dites nga vendi dhe bota.||||||||||||||||||||||||||||||||||||||
3073-20220906181000|Fiks fare|||Fiks fare" është nje program i gazetarisë investigative. Një program kritik dhe problemor, i cili nëpërmjet humorit dhe satirës denoncon dukuri negative të jetës sonë si korrupsioni, vjedhjet, shkeljen e ligjeve nga ana e zyrtarëve, shkeljen e të drejtave të njeriut etj. "Fiks Fare" nisi transmetimin në 19 dhjetor 2002 dhe është i pari emision me thyerje tabuje në praktikën gazetareske.||||||||||||||||||||||||||||||||||||||
3073-20220906190000|Inside Story|||"Inside Story" është një cikël dokumentarësh investigativë që synon transparencën, gabimet e qeverisë, inkompetencën, indiferencën, financat publike dhe çështje të tjera. Ky produkt televiziv përfshin realizimin e intervistave me vetë protagonistët apo zyrtarët përgjegjës në terren, filmime në vendngjarje, informacione konfidenciale, materialeve arkivore dhe dokumente zyrtare. Ky cikël trajton fenomene që prekin shoqërinë tonë, nëpërmjet detajeve ekskluzive dhe të pathëna.||||||||||||||||||||||||||||||||||||||
3073-20220906200000|Bandat e Londrës|||Një serial dramë-aksion që trajton rivalitetin e bandave dhe organizatave kriminale në Londër||||||||||||||||||||||||||||||||||||||
3073-20220906220000|Lajme, moti |||Lajmet kryesore te dites nga vendi dhe bota.||||||||||||||||||||||||||||||||||||||
3073-20220906223500|Fiks fare|||Fiks fare" është nje program i gazetarisë investigative. Një program kritik dhe problemor, i cili nëpërmjet humorit dhe satirës denoncon dukuri negative të jetës sonë si korrupsioni, vjedhjet, shkeljen e ligjeve nga ana e zyrtarëve, shkeljen e të drejtave të njeriut etj. "Fiks Fare" nisi transmetimin në 19 dhjetor 2002 dhe është i pari emision me thyerje tabuje në praktikën gazetareske.||||||||||||||||||||||||||||||||||||||
3073-20220906231500|Pablo Escobar|||Forcat e policise, nen komanden e kolonel Martin Pavonit, ekzekutuan narkotrafikantin Gustavo Ramirez. Sic e therrisnin ndryshe Mariaçi. ||||||||||||||||||||||||||||||||||||||
3073-20220907010000|Lajme, moti|||Lajmet kryesore te dites nga vendi dhe bota.||||||||||||||||||||||||||||||||||||||
3073-20220907013500|Shqiperia Live|||Çdo ditë në një transmetim live do të vijnë ngjarje të aktualitetit, fenomene, histori njerëzore, por edhe ngjarje të bujshme, ku programi do të thellohet në to për të sjellë ekskluzive protagonistët e tyre. Lidhje direkte nga e gjithë Shqipëria. Dinamika e jetës shqiptare do të jetë çdo ditë në ekranin e Top Channel me prezantues: Erjona Rusi & Flori Gjini.||||||||||||||||||||||||||||||||||||||
